"Type","cause","Year","Total Deaths"
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2007,37
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2008,20
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,7
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2009,19
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,7
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,7
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,7
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,7
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,7
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,10
Bencana Non Alam dan Penyakit,Avian Influenza (Flu Burung),2010,7
